nu_cm-1,alpha
1922.000,1.019510e-04
1922.050,3.921807e-05
1922.100,2.069997e-05
1922.150,1.286916e-05
1922.200,8.851592e-06
1922.250,6.526476e-06
1922.300,5.066615e-06
1922.350,4.095773e-06
1922.400,3.423223e-06
1922.450,2.944282e-06
1922.500,2.598063e-06
1922.550,2.347773e-06
1922.600,2.170880e-06
1922.650,2.054028e-06
1922.700,1.990485e-06
1922.750,1.979170e-06
1922.800,2.025008e-06
1922.850,2.140906e-06
1922.900,2.352509e-06
1922.950,2.708778e-06
1923.000,3.306660e-06
1923.050,4.354876e-06
1923.100,6.366298e-06
1923.150,1.088644e-05
1923.200,2.447915e-05
1923.250,1.036393e-04
1923.300,5.639388e-04
1923.350,5.673133e-05
1923.400,1.777944e-05
1923.450,8.751740e-06
1923.500,5.334016e-06
1923.550,3.684577e-06
1923.600,2.764024e-06
1923.650,2.198134e-06
1923.700,1.825622e-06
1923.750,1.567755e-06
1923.800,1.382425e-06
1923.850,1.245496e-06
1923.900,1.142377e-06
1923.950,1.063893e-06
1924.000,1.004141e-06
1924.050,9.593292e-07
1924.100,9.272094e-07
1924.150,9.070452e-07
1924.200,9.011258e-07
1924.250,9.300829e-07
1924.300,1.164031e-06
1924.350,9.636102e-07
1924.400,9.743162e-07
1924.450,1.039165e-06
1924.500,1.157505e-06
1924.550,1.374404e-06
1924.600,1.831850e-06
1924.650,3.160555e-06
1924.700,1.178174e-05
1924.750,2.106230e-05
1924.800,5.888317e-06
1924.850,7.922274e-06
1924.900,3.024060e-05
1924.950,1.216056e-04
1925.000,1.384471e-05
1925.050,4.889580e-06
1925.100,2.707378e-06
1925.150,1.862349e-06
1925.200,1.451190e-06
1925.250,1.223285e-06
1925.300,1.087795e-06
1925.350,1.012022e-06
1925.400,1.078008e-06
1925.450,9.238197e-07
1925.500,8.867436e-07
1925.550,8.725905e-07
1925.600,8.688823e-07
1925.650,8.730368e-07
1925.700,8.841712e-07
1925.750,9.022224e-07
1925.800,9.278977e-07
1925.850,9.630565e-07
1925.900,1.011938e-06
1925.950,1.085180e-06
1926.000,1.216458e-06
1926.050,1.569448e-06
1926.100,4.091869e-06
1926.150,4.185466e-06
1926.200,1.901646e-06
1926.250,2.314260e-06
1926.300,2.231359e-06
1926.350,2.058059e-06
1926.400,2.557681e-06
1926.450,4.425024e-06
1926.500,2.385023e-05
1926.550,1.171939e-05
1926.600,4.483767e-06
1926.650,3.528697e-06
1926.700,3.627595e-06
1926.750,4.074167e-06
1926.800,4.804032e-06
1926.850,5.897038e-06
1926.900,7.615382e-06
1926.950,1.047711e-05
1927.000,1.421773e-05
1927.050,2.192300e-05
1927.100,3.874445e-05
1927.150,8.709607e-05
1927.200,3.421150e-04
1927.250,2.904753e-03
1927.300,2.739522e-04
1927.350,7.741733e-05
1927.400,3.585878e-05
1927.450,2.075039e-05
1927.500,1.364421e-05
1927.550,9.760565e-06
1927.600,7.422089e-06
1927.650,5.918826e-06
1927.700,4.909635e-06
1927.750,4.215394e-06
1927.800,3.736426e-06
1927.850,3.416025e-06
1927.900,3.223435e-06
1927.950,3.146279e-06
1928.000,3.188772e-06
1928.050,3.375393e-06
1928.100,3.763068e-06
1928.150,4.472179e-06
1928.200,5.768837e-06
1928.250,8.316043e-06
1928.300,1.413585e-05
1928.350,3.196906e-05
1928.400,1.399811e-04
1928.450,6.375946e-04
1928.500,6.686184e-05
1928.550,2.160362e-05
1928.600,1.080188e-05
1928.650,6.662694e-06
1928.700,4.667789e-06
1928.750,3.516049e-06
1928.800,2.819674e-06
1928.850,2.364545e-06
1928.900,2.054100e-06
1928.950,1.837875e-06
1929.000,1.688274e-06
1929.050,1.590893e-06
1929.100,1.540955e-06
1929.150,1.544326e-06
1929.200,1.626376e-06
1929.250,1.866882e-06
1929.300,2.568453e-06
1929.350,5.650785e-06
1929.400,3.938348e-05
1929.450,8.567886e-06
1929.500,3.347692e-06
1929.550,2.700308e-06
1929.600,3.031921e-06
1929.650,4.421282e-06
1929.700,9.187754e-06
1929.750,4.045593e-05
1929.800,1.286756e-04
1929.850,1.553547e-05
1929.900,5.640348e-06
1929.950,3.201652e-06
1930.000,2.222953e-06
1930.050,1.688377e-06
1930.100,1.410563e-06
1930.150,1.242238e-06
1930.200,1.133770e-06
1930.250,1.061854e-06
1930.300,1.014467e-06
1930.350,9.854818e-07
1930.400,9.729479e-07
1930.450,9.806100e-07
1930.500,1.031212e-06
1930.550,1.309016e-06
1930.600,2.413815e-06
1930.650,1.378384e-06
1930.700,2.010963e-06
1930.750,9.521443e-06
1930.800,2.274399e-06
1930.850,1.323677e-06
1930.900,1.164041e-06
1930.950,1.139507e-06
1931.000,1.167026e-06
1931.050,1.234783e-06
1931.100,1.358211e-06
1931.150,1.595842e-06
1931.200,2.162916e-06
1931.250,4.299746e-06
1931.300,2.760414e-05
1931.350,1.016132e-05
1931.400,3.183740e-06
1931.450,2.200775e-06
1931.500,2.005303e-06
1931.550,2.259712e-06
1931.600,5.409522e-06
1931.650,2.369339e-06
1931.700,2.246139e-06
1931.750,2.442917e-06
1931.800,3.386618e-06
1931.850,2.920979e-06
1931.900,3.195357e-06
1931.950,3.628453e-06
