nu_cm-1,alpha_line1,alpha_line2,alpha_total,transmittance
7185.339,1.058938e-03,2.766388e-03,3.825327e-03,9.961820e-01
7185.340,1.067198e-03,2.788009e-03,3.855207e-03,9.961522e-01
7185.341,1.075556e-03,2.809884e-03,3.885439e-03,9.961221e-01
7185.342,1.084012e-03,2.832017e-03,3.916028e-03,9.960916e-01
7185.343,1.092567e-03,2.854413e-03,3.946980e-03,9.960608e-01
7185.344,1.101225e-03,2.877076e-03,3.978301e-03,9.960296e-01
7185.345,1.109986e-03,2.900010e-03,4.009996e-03,9.959980e-01
7185.346,1.118851e-03,2.923220e-03,4.042071e-03,9.959661e-01
7185.347,1.127823e-03,2.946709e-03,4.074533e-03,9.959338e-01
7185.348,1.136904e-03,2.970483e-03,4.107387e-03,9.959010e-01
7185.349,1.146094e-03,2.994546e-03,4.140641e-03,9.958679e-01
7185.350,1.155397e-03,3.018903e-03,4.174300e-03,9.958344e-01
7185.351,1.164813e-03,3.043558e-03,4.208371e-03,9.958005e-01
7185.352,1.174344e-03,3.068517e-03,4.242861e-03,9.957661e-01
7185.353,1.183993e-03,3.093784e-03,4.277777e-03,9.957314e-01
7185.354,1.193761e-03,3.119365e-03,4.313126e-03,9.956962e-01
7185.355,1.203651e-03,3.145265e-03,4.348915e-03,9.956605e-01
7185.356,1.213664e-03,3.171488e-03,4.385152e-03,9.956244e-01
7185.357,1.223802e-03,3.198042e-03,4.421843e-03,9.955879e-01
7185.358,1.234068e-03,3.224930e-03,4.458997e-03,9.955509e-01
7185.359,1.244463e-03,3.252159e-03,4.496622e-03,9.955135e-01
7185.360,1.254990e-03,3.279734e-03,4.534724e-03,9.954755e-01
7185.361,1.265651e-03,3.307662e-03,4.573313e-03,9.954371e-01
7185.362,1.276448e-03,3.335949e-03,4.612397e-03,9.953982e-01
7185.363,1.287385e-03,3.364600e-03,4.651985e-03,9.953588e-01
7185.364,1.298462e-03,3.393622e-03,4.692084e-03,9.953189e-01
7185.365,1.309682e-03,3.423022e-03,4.732704e-03,9.952785e-01
7185.366,1.321049e-03,3.452805e-03,4.773854e-03,9.952375e-01
7185.367,1.332564e-03,3.482979e-03,4.815543e-03,9.951960e-01
7185.368,1.344230e-03,3.513551e-03,4.857781e-03,9.951540e-01
7185.369,1.356050e-03,3.544527e-03,4.900577e-03,9.951114e-01
7185.370,1.368026e-03,3.575915e-03,4.943941e-03,9.950683e-01
7185.371,1.380162e-03,3.607722e-03,4.987884e-03,9.950245e-01
7185.372,1.392460e-03,3.639955e-03,5.032415e-03,9.949802e-01
