nu_cm-1,alpha
2044.610,1.464033e-04
2044.611,1.458387e-04
2044.612,1.452642e-04
2044.613,1.446803e-04
2044.614,1.440871e-04
2044.615,1.434851e-04
2044.616,1.428744e-04
2044.617,1.422554e-04
2044.618,1.416284e-04
2044.619,1.409936e-04
2044.620,1.403513e-04
2044.621,1.397019e-04
2044.622,1.390455e-04
2044.623,1.383825e-04
2044.624,1.377132e-04
2044.625,1.370378e-04
2044.626,1.363565e-04
2044.627,1.356697e-04
2044.628,1.349776e-04
2044.629,1.342805e-04
2044.630,1.335785e-04
2044.631,1.328721e-04
2044.632,1.321613e-04
2044.633,1.314464e-04
2044.634,1.307278e-04
2044.635,1.300055e-04
2044.636,1.292799e-04
2044.637,1.285511e-04
2044.638,1.278194e-04
2044.639,1.270850e-04
2044.640,1.263481e-04
2044.641,1.256090e-04
2044.642,1.248677e-04
2044.643,1.241246e-04
2044.644,1.233798e-04
2044.645,1.226335e-04
2044.646,1.218859e-04
2044.647,1.211371e-04
2044.648,1.203875e-04
2044.649,1.196370e-04
2044.650,1.188860e-04
2044.651,1.181345e-04
2044.652,1.173828e-04
2044.653,1.166309e-04
2044.654,1.158791e-04
2044.655,1.151276e-04
2044.656,1.143763e-04
2044.657,1.136256e-04
2044.658,1.128756e-04
2044.659,1.121263e-04
2044.660,1.113779e-04
2044.661,1.106306e-04
2044.662,1.098845e-04
2044.663,1.091396e-04
2044.664,1.083962e-04
2044.665,1.076544e-04
2044.666,1.069142e-04
2044.667,1.061758e-04
2044.668,1.054392e-04
2044.669,1.047047e-04
2044.670,1.039723e-04
2044.671,1.032420e-04
2044.672,1.025141e-04
2044.673,1.017885e-04
2044.674,1.010654e-04
2044.675,1.003449e-04
2044.676,9.962702e-05
2044.677,9.891189e-05
2044.678,9.819958e-05
2044.679,9.749017e-05
2044.680,9.678373e-05
2044.681,9.608034e-05
2044.682,9.538006e-05
2044.683,9.468296e-05
2044.684,9.398911e-05
2044.685,9.329857e-05
2044.686,9.261141e-05
2044.687,9.192767e-05
2044.688,9.124741e-05
2044.689,9.057070e-05
2044.690,8.989757e-05
2044.691,8.922808e-05
2044.692,8.856227e-05
2044.693,8.790019e-05
2044.694,8.724188e-05
2044.695,8.658738e-05
2044.696,8.593672e-05
2044.697,8.528996e-05
2044.698,8.464711e-05
2044.699,8.400820e-05
2044.700,8.337328e-05
2044.701,8.274237e-05
2044.702,8.211549e-05
2044.703,8.149267e-05
2044.704,8.087393e-05
2044.705,8.025929e-05
2044.706,7.964877e-05
2044.707,7.904239e-05
2044.708,7.844016e-05
2044.709,7.784211e-05
2044.710,7.724823e-05
2044.711,7.665854e-05
2044.712,7.607306e-05
2044.713,7.549178e-05
2044.714,7.491473e-05
2044.715,7.434189e-05
2044.716,7.377328e-05
2044.717,7.320889e-05
2044.718,7.264874e-05
2044.719,7.209281e-05
2044.720,7.154111e-05
2044.721,7.099364e-05
2044.722,7.045039e-05
2044.723,6.991135e-05
2044.724,6.937653e-05
2044.725,6.884591e-05
2044.726,6.831949e-05
2044.727,6.779726e-05
2044.728,6.727920e-05
2044.729,6.676532e-05
2044.730,6.625558e-05
2044.731,6.575000e-05
2044.732,6.524854e-05
2044.733,6.475120e-05
2044.734,6.425796e-05
2044.735,6.376881e-05
2044.736,6.328373e-05
2044.737,6.280270e-05
2044.738,6.232570e-05
2044.739,6.185272e-05
2044.740,6.138375e-05
2044.741,6.091875e-05
2044.742,6.045771e-05
2044.743,6.000060e-05
2044.744,5.954742e-05
2044.745,5.909813e-05
2044.746,5.865272e-05
2044.747,5.821116e-05
2044.748,5.777343e-05
2044.749,5.733950e-05
2044.750,5.690936e-05
2044.751,1.240401e-05
2044.752,1.230884e-05
2044.753,1.221429e-05
2044.754,1.212035e-05
2044.755,1.202703e-05
2044.756,1.193435e-05
2044.757,1.184230e-05
2044.758,1.175089e-05
2044.759,1.166011e-05
2044.760,1.156998e-05
2044.761,1.148049e-05
2044.762,1.139165e-05
2044.763,1.130346e-05
2044.764,1.121592e-05
2044.765,1.112904e-05
2044.766,1.104280e-05
2044.767,1.095723e-05
2044.768,1.087230e-05
2044.769,1.078803e-05
2044.770,1.070442e-05
2044.771,1.062146e-05
2044.772,1.053916e-05
2044.773,1.045751e-05
2044.774,1.037651e-05
2044.775,1.029616e-05
2044.776,1.021647e-05
2044.777,1.013742e-05
2044.778,1.005902e-05
2044.779,9.981271e-06
2044.780,9.904162e-06
2044.781,9.827696e-06
2044.782,9.751869e-06
2044.783,9.676679e-06
2044.784,9.602124e-06
2044.785,9.528201e-06
2044.786,9.454907e-06
2044.787,9.382240e-06
2044.788,9.310196e-06
2044.789,9.238773e-06
2044.790,9.167967e-06
2044.791,9.097774e-06
2044.792,9.028193e-06
2044.793,8.959218e-06
2044.794,8.890848e-06
2044.795,8.823077e-06
2044.796,8.755903e-06
2044.797,8.689321e-06
2044.798,8.623329e-06
2044.799,8.557921e-06
2044.800,8.493095e-06
2044.801,8.428845e-06
2044.802,8.365170e-06
2044.803,8.302063e-06
2044.804,8.239521e-06
2044.805,8.177541e-06
2044.806,8.116118e-06
2044.807,8.055247e-06
2044.808,7.994925e-06
2044.809,7.935148e-06
2044.810,7.875911e-06
2044.811,7.817210e-06
2044.812,7.759040e-06
2044.813,7.701398e-06
2044.814,7.644280e-06
2044.815,7.587680e-06
2044.816,7.531595e-06
2044.817,7.476020e-06
2044.818,7.420951e-06
2044.819,7.366384e-06
2044.820,7.312315e-06
2044.821,7.258739e-06
2044.822,7.205652e-06
2044.823,7.153049e-06
2044.824,0.000000e+00
2044.825,0.000000e+00
2044.826,0.000000e+00
2044.827,0.000000e+00
2044.828,0.000000e+00
2044.829,0.000000e+00
2044.830,0.000000e+00
2044.831,0.000000e+00
2044.832,0.000000e+00
2044.833,0.000000e+00
2044.834,0.000000e+00
2044.835,0.000000e+00
2044.836,0.000000e+00
2044.837,0.000000e+00
2044.838,0.000000e+00
2044.839,0.000000e+00
2044.840,0.000000e+00
2044.841,0.000000e+00
2044.842,0.000000e+00
2044.843,0.000000e+00
2044.844,0.000000e+00
2044.845,0.000000e+00
2044.846,0.000000e+00
2044.847,0.000000e+00
2044.848,0.000000e+00
2044.849,0.000000e+00
2044.850,0.000000e+00
2044.851,0.000000e+00
2044.852,0.000000e+00
2044.853,0.000000e+00
2044.854,0.000000e+00
2044.855,0.000000e+00
2044.856,0.000000e+00
2044.857,0.000000e+00
2044.858,0.000000e+00
2044.859,0.000000e+00
2044.860,0.000000e+00
2044.861,0.000000e+00
2044.862,0.000000e+00
2044.863,0.000000e+00
2044.864,0.000000e+00
2044.865,0.000000e+00
2044.866,0.000000e+00
2044.867,0.000000e+00
2044.868,0.000000e+00
2044.869,0.000000e+00
2044.870,0.000000e+00
2044.871,0.000000e+00
2044.872,0.000000e+00
2044.873,0.000000e+00
2044.874,0.000000e+00
2044.875,0.000000e+00
2044.876,0.000000e+00
2044.877,0.000000e+00
2044.878,0.000000e+00
2044.879,0.000000e+00
2044.880,0.000000e+00
2044.881,0.000000e+00
2044.882,0.000000e+00
2044.883,0.000000e+00
2044.884,0.000000e+00
2044.885,0.000000e+00
2044.886,0.000000e+00
2044.887,0.000000e+00
2044.888,0.000000e+00
2044.889,0.000000e+00
2044.890,0.000000e+00
2044.891,0.000000e+00
2044.892,0.000000e+00
2044.893,0.000000e+00
2044.894,0.000000e+00
2044.895,0.000000e+00
2044.896,0.000000e+00
2044.897,0.000000e+00
2044.898,0.000000e+00
2044.899,0.000000e+00
2044.900,0.000000e+00
2044.901,0.000000e+00
2044.902,0.000000e+00
2044.903,0.000000e+00
2044.904,0.000000e+00
2044.905,0.000000e+00
2044.906,0.000000e+00
2044.907,0.000000e+00
2044.908,0.000000e+00
2044.909,0.000000e+00
2044.910,0.000000e+00
2044.911,0.000000e+00
2044.912,0.000000e+00
2044.913,0.000000e+00
2044.914,0.000000e+00
2044.915,0.000000e+00
2044.916,0.000000e+00
2044.917,0.000000e+00
2044.918,0.000000e+00
2044.919,0.000000e+00
2044.920,0.000000e+00
2044.921,0.000000e+00
2044.922,0.000000e+00
2044.923,0.000000e+00
2044.924,0.000000e+00
2044.925,0.000000e+00
2044.926,0.000000e+00
2044.927,0.000000e+00
2044.928,0.000000e+00
2044.929,0.000000e+00
2044.930,0.000000e+00
2044.931,0.000000e+00
2044.932,0.000000e+00
2044.933,0.000000e+00
2044.934,0.000000e+00
2044.935,0.000000e+00
2044.936,0.000000e+00
2044.937,0.000000e+00
2044.938,0.000000e+00
2044.939,0.000000e+00
2044.940,0.000000e+00
2044.941,0.000000e+00
2044.942,0.000000e+00
2044.943,0.000000e+00
2044.944,0.000000e+00
2044.945,0.000000e+00
2044.946,0.000000e+00
2044.947,0.000000e+00
2044.948,0.000000e+00
2044.949,0.000000e+00
2044.950,0.000000e+00
2044.951,0.000000e+00
2044.952,0.000000e+00
2044.953,0.000000e+00
2044.954,0.000000e+00
2044.955,0.000000e+00
2044.956,0.000000e+00
2044.957,0.000000e+00
2044.958,0.000000e+00
2044.959,0.000000e+00
2044.960,0.000000e+00
2044.961,0.000000e+00
2044.962,0.000000e+00
2044.963,0.000000e+00
2044.964,0.000000e+00
2044.965,0.000000e+00
2044.966,0.000000e+00
2044.967,0.000000e+00
2044.968,0.000000e+00
2044.969,0.000000e+00
2044.970,0.000000e+00
2044.971,0.000000e+00
2044.972,0.000000e+00
2044.973,0.000000e+00
2044.974,0.000000e+00
2044.975,0.000000e+00
2044.976,0.000000e+00
2044.977,0.000000e+00
2044.978,0.000000e+00
2044.979,0.000000e+00
2044.980,0.000000e+00
2044.981,0.000000e+00
2044.982,0.000000e+00
2044.983,0.000000e+00
2044.984,0.000000e+00
2044.985,0.000000e+00
2044.986,0.000000e+00
2044.987,0.000000e+00
2044.988,0.000000e+00
2044.989,0.000000e+00
2044.990,0.000000e+00
2044.991,0.000000e+00
2044.992,0.000000e+00
2044.993,0.000000e+00
2044.994,0.000000e+00
2044.995,0.000000e+00
2044.996,0.000000e+00
2044.997,0.000000e+00
2044.998,0.000000e+00
2044.999,0.000000e+00
2045.000,0.000000e+00
2045.001,0.000000e+00
2045.002,0.000000e+00
2045.003,0.000000e+00
2045.004,0.000000e+00
2045.005,0.000000e+00
2045.006,0.000000e+00
2045.007,0.000000e+00
2045.008,0.000000e+00
2045.009,0.000000e+00
2045.010,0.000000e+00
2045.011,0.000000e+00
2045.012,0.000000e+00
2045.013,0.000000e+00
2045.014,0.000000e+00
2045.015,0.000000e+00
2045.016,0.000000e+00
2045.017,0.000000e+00
2045.018,0.000000e+00
2045.019,0.000000e+00
2045.020,0.000000e+00
2045.021,0.000000e+00
2045.022,0.000000e+00
2045.023,0.000000e+00
2045.024,0.000000e+00
2045.025,0.000000e+00
2045.026,0.000000e+00
2045.027,0.000000e+00
2045.028,0.000000e+00
2045.029,0.000000e+00
2045.030,0.000000e+00
